日期,天气状况,气温,风力风向
2011-12-05,多云/阵雨,20℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-12-06,阵雨/阵雨,20℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-12-07,阵雨/小雨,22℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-08,小雨/小雨,16℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-12-09,小雨/阴,16℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-12-10,阴/多云,13℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-12-11,多云/阴,14℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-12-12,阴/阴,17℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-13,阴/阴,19℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-12-14,阴/阵雨,18℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-15,阴/阴,14℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-12-16,阴/多云,13℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-12-17,多云/多云,14℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-12-18,多云/多云,15℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-12-19,阴/多云,15℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-20,多云/多云,19℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-12-21,多云/多云,19℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-12-22,阴/多云,14℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-12-23,多云/多云,14℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-12-24,晴/晴,14℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-12-25,晴/晴,15℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-12-26,晴/阴,14℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-12-27,阴/多云,15℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-28,多云/阴,17℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-12-29,阵雨/阵雨,15℃/11℃,无持续风向微风/无持续风向微风
2011-12-30,阵雨/阴,13℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-12-31,阴/阴,14℃/10℃,无持续风向≤3级/无持续风向≤3级
