标题,作者,时间,内容,文章链接
沧州渤海新区：筑牢防范电信诈骗“防火墙”,举报,"
2022-04-26 17:28:03",近期，沧州渤海新区骅港海防派出所组织民警到社区、黄骅港码头，面对面向靠岸居民、船员宣传电信网络诈骗违法犯罪防范工作，引导帮助他们下载国家反诈中心App，详细讲解反诈防范措施。让群众认识到防范电信诈骗的重要性，筑牢防范电信诈骗的“防火墙”。(陈茵 傅新春)StartFragmentEndFragment,https://hebei.news.163.com/22/0426/17/H5T7ID4F0415987E.html
化州下郭、东山竟是网络诈骗高发地? 诈骗手段曝光！,化州社区,"
2022-04-18 10:53:30",茂名电信网络诈骗发案情况周报2021年4月4日至4月10日发案态势高发街镇高发手法本周，高发诈骗手法依次为：刷单返利类诈骗、冒充公检法类诈骗、冒充电商物流客服类诈骗、虚假贷款类诈骗、虚假购物服务类诈骗、虚假征信类诈骗、网络游戏装备类诈骗、杀猪盘类。典型案件案例一【冒充公检法类诈骗】2022年4月3日，滨海某事主报警，称其于2022年3月26日下午接到电话，对方自称是茂名市公安局民警，说事主的身份信,https://www.163.com/dy/article/H57TQ7FQ0537036W.html
杭州律师：区分一般诈骗与电信网络诈骗是重要辩护点, , , ,https://www.163.com/v/video/VI4TFKFHE.html
电信网络诈骗十大典型案例（10）︱“杀猪盘”诈骗案,常州市中级人民法院,"
2022-04-24 17:26:08",骗子自述我今年33岁，初中毕业，我在郑州找工作时，在网上看到一种利用虚假恋爱关系，以互赠、索要礼物为由，骗得对方财物的方法，我觉得这是个赚钱的路子，自己也动了这个念头。我在某广场用我老婆的身份开了家微店叫“鑫鑫优购”，招揽了部分员工，我对他们进行了培训。具体操作方法是员工自己申请多个微信号，在陌陌和微信上利用女性头像去搜索男性目标客户，地点没有限制，感觉聊到一块，形成了虚假恋爱关系，就开始互相发礼,https://www.163.com/dy/article/H5O2LEMJ0514C4R7.html
农贸集市上扫码送塑料凳？这是诈骗！济南警方抓获10余名“引流”诈骗嫌疑人,齐鲁网,"
2022-04-22 19:55:02",农村集市上扫码就送塑料凳2月27日恰逢济南市长清区孝里街道办事处农贸市集，蒋阿姨跟往常一样去赶集买菜，没被新鲜的蔬菜吸引，却为两个在集市上吆喝的青年停下了脚步，搭耳一听扫码入群有礼物、仔细一看礼品脸盆质量还不赖，蒋阿姨就主动将手机递给那个“嘴皮子溜圆”的小伙子，在他的一顿操作下，蒋阿姨就入了所谓的微信群，就在蒋阿姨兴高采烈地挑选自己中意的脸盆时，两个“推销的”青年竟将几条广告悄悄地转发到了蒋阿姨其,https://www.163.com/dy/article/H5J6CLP40514CFC7.html
工人派出所开展预防电信诈骗宣传活动,举报,"
2022-04-25 13:22:45",为切实做好防范电信诈骗工作，近日，平山公安分局工人派出所组织民警深入辖区广泛开展防范电信诈骗宣传活动，有效打击诈骗犯罪、维护群众利益、预防和减少电信诈骗案件的发生。活动中，工人派出所社区民警走上街头，通过发放防范电信诈骗宣传资料，现场面对面讲解的形式宣传电信诈骗惯用的手法、作案方式以及识别、防范的技巧。现场指导群众关注“国家反诈中心政务号”，下载“国家反诈APP”，提醒群众不要轻易透露个人信息、不,https://liaoning.news.163.com/22/0425/13/H5Q74HHU04229BRS.html
滁州琅琊警方破获一起诈骗案,信息新报,"
2022-04-25 13:29:35","2月10日,家住滁州琅琊区的居民左某某突然接到刚从监狱释放的朋友刘某电话，称和他一起在狱中服刑的左某某的男友梁某某在狱中情绪不佳，想要调换监区，希望家人能帮忙“活动活动”。左某某闻讯心急如焚，刘某随即声称自己与监狱里的狱警很熟,只要家属愿意花钱，就能帮忙办成此事。随后，刘某虚构请狱警吃饭、送礼等理由向左某某索款1万多元。左某某待到与狱中男友视频会见时才发现被骗，于是报警。3月中旬,经过缜密侦查，滁",https://www.163.com/dy/article/H5Q7H1SM0552ADWT.html
诈骗87万余元！警惕这个“黑盒子”……,天津滨海新区法院,"
2022-04-24 23:06:32",您好，我是XX工作人员，现需要您将学生账户升级为成人账户，否则将影响您的征信……你好，我是XX客服，你前期在某宝上购买的衣服，很多买家反映质量较差，我们可以给你做退款理赔……相信不少人曾经接到过这类诈骗电话让人奇怪的是接电话的时候明明显示是本地号码骗子却人在外地甚至境外那么问题来了Tips近日滨海新区法院案情简介 被告人曹某纠集被告人康某通过“蝙蝠”软件勾结实施电信网络诈骗的上线人员，二被告人为逃,https://www.163.com/dy/article/H5OM4OGU0514QH3C.html
刷单就是诈骗！,信息新报,"
2022-04-26 13:20:32", 近日，浦江县公安局白马派出所接到一位应届女大学生金女士的报警，称其在网上刷单，18个小时之内被骗了79100元。 原来，在此前，金女士受邀请进了一个红包群，群主在群内推荐了某款社交APP，称该软件是采用“公益助力”的模式帮明星投票，可以轻松得到高额的刷单返利。 紧接着，一位自称是“数据员”的群成员添加了金女士好友，并将其拉进了一个“GGG优质数据操作单”群，随后告知了金女士具体的刷单模式和刷单金,https://www.163.com/dy/article/H5SPD61T0552ADWT.html
大田又有人中招！刷单就是诈骗！,大田县人民检察院,"
2022-04-22 19:04:17",零成本、低门槛、高回报……想想真的是“一本万利”的买卖~本来只想兼职挣钱、轻松获利可结果自己失去了更多…… 视频来源：永安市委政法委、永安市公安局近期我市各地发生多起网络刷单诈骗案件请广大市民提高警惕不听 不信 不转帐大田县 2起三元区 1起沙县区 1起 泰宁县 1起宁化县 2起面对诈骗我们要练就一双慧眼识破诈骗套路护好自己的钱袋子下面这些反诈小知识请收藏！高发电信网络诈骗类型0102030405,https://www.163.com/dy/article/H5J3FNU90512E4U8.html
转让门店反被说诈骗？如何处理？, , , ,https://www.163.com/v/video/VU4SETGNR.html
【网警提醒】警惕! 涉疫诈骗新套路！,覃塘宣传,"
2022-04-23 20:48:42",疫情防控不松懈谨防涉疫诈骗新套路当前，疫情防控形势严峻，各省市都出台严防严控疫情的管理措施和规定，在大家积极响应政府”防疫“号召，支持和配合政府疫情防控工作时，一些不法诈骗分子也趁机利用广大市民疫情防控”心理“，套用一些所谓的“官方消息”实施各种套路的诈骗，各种电信网络诈骗层出不穷，让人防不胜防。近日，平南网警就收到了群众举报称遇到了新型的涉疫诈骗，希望发布出 来，让大家进一步提高警惕。小伙伴们快,https://www.163.com/dy/article/H5LRRKP30514W2B7.html
检察官@你，远离新型刷单返利类诈骗陷阱,锦江检察,"
2022-04-25 19:54:43",对你嘘寒问暖、甜言蜜语当你把Ta当“真爱”他又告诉你“刷单＋网络赌博”能轻松赚大钱你以为从此走向人生巅峰殊不知已掉进新型刷单返利类诈骗陷阱案情回顾2019年5月至9月，被告人王某某前往境外加入一家诈骗犯罪集团。该诈骗犯罪集团通过虚设的赌博网络平台，以公司化运营对国内不特定对象实施网络诈骗活动。来源：重庆市检察院微信公众号重庆市检察院第五分院微信公众号重庆市九龙坡区检察院微信公众号编辑：吴鹏瑶来源：,https://www.163.com/dy/article/H5QTI85E0514M975.html
如何防范这些诈骗行为？请转给身边的人，谨防被骗！,今点黄州,"
2022-04-25 17:53:00",近期有不法分子 冒充疫情防控人员身穿“大白”防护服以登门采集核酸为由实施诈骗。希望大家保持警惕谨防落入陷阱！疫情期间有不法分子冒充「权威部门机构」，将钓鱼短信包装成各类防疫提示。提醒：无论何种名义，最终皆为获利，守好银行卡密，可疑链接警惕！不法分子伪装成「疫苗接种普查调查员」或「回访员」，以社区工作人员的名义让市民添加微信好友，再将市民拉入微信群。然后，不法分子在群内发布刷单、赌博等违法违规信息，,https://www.163.com/dy/article/H5QMJBTQ0514TBAN.html
最早的电信诈骗, , , ,https://www.163.com/v/video/VM51BVKVS.html
借车抵押实为诈骗 双辽法院“云”法庭宣判一起诈骗案件,中国吉林网,"
2022-04-24 17:34:28",近日，双辽市人民法院通过远程提讯“云”庭审，公开宣判一起诈骗案件，以诈骗罪判处被告人辛某华有期徒刑三年六个月，并处罚金人民币四万元。公诉人、被告人律师现场就座，被告人在看守所通过远程视频系统开庭。经审理查明，2021年4月，被告人辛某华在欠有大量外债无法偿还的情况下，将自己在长春租赁公司租的一台2014款奥迪A6车抵押在刘某处，谎称该车系自己所有，向刘某抵押借款60000元，刘某实际交给辛某华57,https://www.163.com/dy/article/H5O34MUC05149AGP.html
反电信网络诈骗丨远离“刷单”诈骗,遵义交旅投,"
2022-04-14 17:39:19",遵义公安反诈防范宣传（2022）第2期电信诈骗之王——刷单诈骗刷单诈骗为什么被称为诈骗之王？因为它：发案最高！金额最大！形式多变！2022年1月1日以来，遵义市电信网络诈骗案件分布如下：那么，到底什么是刷单诈骗？刷单诈骗全称为刷单返利类诈骗，指犯罪嫌疑人通过QQ、微信、陌陌、短信、抖音、快手、网页、招聘平台等各类社交软件、移动互联网渠道发布刷单返利兼职广告，以“高佣金”回报为诱饵，诱导受害人下载或,https://www.163.com/dy/article/H4UBED96053873E7.html
【警惕】APP诈骗已成主要手段！国家网信办曝光6个电信网络诈骗典型案例！,汕头吃喝玩乐,"
2022-04-25 16:02:16",为贯彻落实习近平总书记关于打击治理电信网络诈骗犯罪工作的重要指示精神，切实保障人民群众财产安全，国家网信办会同公安部等有关部门，深入整治电信网络新型违法犯罪，建设国家涉诈黑样本库，建立互联网预警劝阻平台，精准提示潜在受害人，维护人民群众切身利益。今年以来，国家网信办反诈中心排查打击涉诈网址87.8万个、APP7.3万个、跨境电话7.5万个，并纳入国家涉诈黑样本库。目前，国家涉诈黑样本库已涵盖并处置,https://www.163.com/dy/article/H5QG8K1M0538B61U.html
警惕！诈骗黑手盯上网课小学生, , , ,https://www.163.com/v/video/VP4QE4GJA.html
四名男子伪装“援交女”诈骗, , , ,https://www.163.com/v/video/VS524B0T5.html
公安部部署开展打击整治养老诈骗专项行动,平安长寿,"
2022-04-23 01:22:05",全国公安机关打击整治养老诈骗专项行动部署会19日召开，部署各级公安机关依法严厉打击整治养老诈骗违法犯罪，切实维护老年人合法权益，以实际行动迎接党的二十大胜利召开。公安部要求，要以打开路、多措并举，迅速掀起打击整治工作高潮。要强化线索摸排，广泛发动群众，强化部门协同，及时发现核查处置养老诈骗违法犯罪线索。要以提供“养老服务”、投资“养老项目”、销售“养老产品”、宣称“以房养老”、代办“养老保险”、开,https://www.163.com/dy/article/H5JP3H280514RQN3.html
还被骗？ 真实案例！反诈骗中心教你如何防范网络诈骗！,微甘孜,"
2022-04-16 09:12:40",会议充分肯定了2021年全州打击治理电信网络诈骗新型违法犯罪工作取得的成效。●三是宣传防范全面延伸。联席办各成员单位积极开展防范电信网络诈骗宣传工作，全力营造“全民反诈”氛围，防范触角向全州域延伸，切实提升了群众防骗意识。会议强调，打击治理电信网络诈骗犯罪事关人民切身利益，事关社会大局稳定，事关经济金融安全，各县（市）、各部门要准确把握当前电信网络诈骗违法犯罪新形势、新变化，牢固树立以人民为中心的,https://www.163.com/dy/article/H52J84VD0514CC6P.html
女警察卧底电信诈骗窝点 ，身份险些遭到暴露, , , ,https://www.163.com/v/video/VO5180U5C.html
伪造存折吓坏市民 警方慧眼识破电诈骗局,襄阳汉江网,"
2022-04-25 15:23:36",不法分子为了成功实施电信诈骗犯罪能够做到什么程度？4月24日，记者在民警搜集的证据中，看到了以假乱真的伪造存折。这张存折中，除了开户时存入的100元外，其他进出流水最小金额都是10万元，最大金额单笔高达百万元，而且盖有红色印章，乍一看，完全分不出真假。也就是这样一张大额流水频繁的存折，差点骗了市民宋女士。4月21日下午，宋女士接到一名自称广州市人民检察院“检察官”的电话，对方说宋女士名下银行账户涉,https://www.163.com/dy/article/H5QE1P8G0514D58E.html
悬！女子被诈骗将自己锁在车里转账, , , ,https://www.163.com/v/video/VZ4UQB9QB.html
破除电信诈骗，得从清除“内鬼”开始,红网,"
2022-04-23 16:20:23",□沈宏胜公民个人信息是犯罪分子实施电信网络诈骗犯罪的“基础物料”，被泄露并被不法分子获取，后果不堪设想。一旦有行业“内鬼”非法获取个人信息并将其用于电诈，危害尤为严重。最高人民检察院21日公布的一起典型案例，揭露了“内鬼”的行为。（4月21日新华社）俗话说得好，“一粒老鼠屎打坏一锅汤”。本来是网络诈骗，却让电信背上了“电信诈骗”的包袱，不过，如果不是“内鬼”作祟，公民个人信息怎么能上了网，继而被骗,https://www.163.com/dy/article/H5LCGBNN0514EV7Q.html
反电诈 · 打击整治养老诈骗专项行动 | @所有老年人 这一份防诈骗指南请收好！,岢岚县妇联,"
2022-04-24 16:38:18",诈骗套路层出不穷而老年人的防范意识薄弱常常成为诈骗分子的“下手对象”作为老年人应当如何防诈骗呢？这一份防诈骗指南请收好！保健品诈骗老年人十分注重养生，诈骗分子借此诱惑老年人高价购买毫无用处的保健品，某些受疾病困扰的老年人会相信诈骗分子所说的各种“神奇”的偏方疗法。诈骗分子打着免费送鸡蛋、水果、小家电的幌子，租用专门场地向老年人宣传“保健产品”、“治疗药品”，夸大产品功效诱惑老年人，从而实施诈骗。防,https://www.163.com/dy/article/H5NVTS4J05346TWM.html
冒充“公检法”诈骗，损失3.18万元。,三江生活,"
2022-04-24 17:37:03",邮箱：3187130382@qq.com。三江县公安局每日电诈警情预警来源：办公室、刑侦大队、三江警方编辑：三江生活 天线宝宝邮箱：3187130382@qq.com三江生活是致力于打造精致、有特色、有内涵、充满正能量的侗乡新生活圈，三江旅游攻略、侗族文化传播、生活资讯、美图、美文、视频、多方位全天陪伴您的生活。,https://www.163.com/dy/article/H5O39F9N054533Q1.html
远离新型刷单返利类诈骗陷阱,法治安顺直通车,"
2022-04-25 16:37:52",有没有人突然在网络上对你嘘寒问暖、甜言蜜语当你把Ta当“真爱”他又告诉你“刷单＋网络赌博”能轻松赚大钱你以为从此走向人生巅峰殊不知已掉进新型刷单返利类诈骗陷阱案情回顾2019年5月至9月，被告人王某某前往境外加入一家诈骗犯罪集团。该诈骗犯罪集团通过虚设的赌博网络平台，以公司化运营对国内不特定对象实施网络诈骗活动。此期间，王某某通过虚假身份在网络上不断地寻找国内的“猎物”，最终获取了被害人叶某信任并,https://www.163.com/dy/article/H5QI9KR90514WPHJ.html
当反诈民警接完诈骗电话，骗子：求你删了我, , , ,https://www.163.com/v/video/VK518LNPG.html
高智商诈骗团伙，王上都是他们的诈骗对象, , , ,https://www.163.com/v/video/VD4NSVVMV.html
哈市南岗警方打掉一电信诈骗团伙,食品安全与法律网,"
2022-04-22 16:05:14",食品安全与法律网讯（通讯员 朱善永 李嘉男）“不好意思，我是警察！”4月5日中午，正在实施电信诈骗的段某等人还没来得及听到这句经典台词，就被乔装刷单人员的民警按到在地，带上了冰凉的手铐，他们万万没有想到，自己费了万千心机，本以为百密无疏，到底还是逃不过法律的制裁。日前，哈尔滨市南岗公安分局哈南派出所接到上级推送线索，旋即顺藤摸瓜，抓获了涉嫌帮助网络信息犯罪的嫌疑人金某，在对金某的审讯中，主办案件的,https://www.163.com/dy/article/H5IP7RST0534B74O.html
【半佛】掏钱洗白征信？反被诈骗蹂躏！, , , ,https://www.163.com/v/video/VY4VPCJ4S.html
全国重拳打击养老非法集资诈骗,中国消费者报,"
2022-04-25 14:28:07",记者了解到，在处置非法集资部际联席会议召开之前，我国成立了全国打击整治养老诈骗专项行动办公室，并召开了全国打击整治养老诈骗专项行动部署会。据悉，本次专项行动将坚持宣传教育、依法打击、整治规范“三箭齐发”，依法严惩养老诈骗违法犯罪，延伸治理侵害老年人合法权益的涉诈乱象问题，为广大老年人安享幸福晚年营造良好社会环境。专项行动要求，尽快打掉一批养老诈骗犯罪团伙，严惩一批违法犯罪分子，集中解决一批群众反映,https://www.163.com/dy/article/H5QAS6NQ0512AKQV.html
剑指养老诈骗！两高一部又有大动作,天津津南法院,"
2022-04-25 21:40:05",来源：中央政法委长安剑 转自：中国法院网 特别提示：凡本号注明“来源”或“转自”的作品均转载自媒体，版权归原作者及原出处所有。所分享内容为作者个人观点，仅供读者学习参考，不代表本号观点。如有异议，请联系删除。针对中老年人遭遇养老诈骗违法犯罪问题，为切实维护老年人合法权益，由中央政法委等12个单位组成全国打击整治养老诈骗专项行动办公室，建立协调机制，在全国开展为期半年的打击整治养老诈骗专项行动。日前,https://www.163.com/dy/article/H5R3J5NF0514QH2U.html
陇西安排部署打击整治养老诈骗专项行动,信息新报,"
2022-04-25 12:02:25",4月21日，陇西县召开专题会议，安排部署陇西县打击整治养老诈骗专项行动。县委常委、政法委书记张军平主持会议并讲话。副县长王荣出席会议并解读了《陇西县打击整治养老诈骗专项行动实施方案》。张军平要求，各级各部门要切实靠实工作责任，把握时间节点，加强督导推动，聚焦宣传发动，坚持线上线下组合发力，增强群众识骗防骗意识，引导群众合理合法维权，打造共防共治格局。要聚焦依法从严，加快线索办理进度，提高线索核查质,https://www.163.com/dy/article/H5Q2HEIV0552ADWT.html
老年人注意：谨防养老诈骗, , , ,https://www.163.com/v/video/VC4TAR2NF.html
广州疾控：这种短信，真不是诈骗短信,南方Plus,"
2022-04-21 23:24:35",近期，部分广州的市民朋友收到了这样的短信：据记者了解，为了让大家更清楚地了解情况，下一次疾控部门在发放该类调查问卷时，将在广州疾控的微信公众号“广州疾控i健康”进行同步公告。【记者】陈伊纯【通讯员】穗疾控【作者】 陈伊纯广东健康头条,https://www.163.com/dy/article/H5GVVKLE055004XG.html
河池公布打击整治养老诈骗线索举报方式！,河池警事,"
2022-04-25 18:42:29",为广泛接收群众举报线索，依法维护老年人合法权益，中央政法委在12337智能化举报平台开通“养老诈骗”举报通道，用户通过扫描二维码，即可登录12337智能化举报平台反映问题。举报人应本着实事求是的原则，如实反映问题。01广西打击整治养老诈骗线索举报专用信箱：广西壮族自治区南宁市A058号邮政信箱02河池市打击整治养老诈骗线索举报专用电话：077896110河池市打击整治养老诈骗专项行动办公室2022,https://www.163.com/dy/article/H5QPE07E0514T107.html
诈骗犯罪辩护律师刘高锋：诈骗犯罪中的涉案财物的处理,北京刑事律师刘高锋,"
2022-04-23 16:03:41",诈骗犯罪辩护律师刘高锋：诈骗犯罪中的涉案财物的处理一、电信诈骗与普通诈骗之别随着电信网络技术的发展，电信诈骗的数量较之以往陡增，具有犯罪手段隐蔽、涉案地域广（含跨境）、犯罪人员数量庞大以及涉案金额特别巨大等特点。所以，两高一部就办理电信网络诈骗刑事案件做了详尽的规定。电信诈骗指的是利用通讯工具、互联网等技术手段实施的诈骗行为。其与普通诈骗的区别在于是否利用了通讯工具和互联网等技术。当今社会，目之所,https://www.163.com/dy/article/H5LBHM0R0539MSD3.html
“爱国”居然被骗子用来诈骗，北京警方紧急拦截70万元诈骗案, , , ,https://www.163.com/v/video/VZ51ENOIQ.html
当反诈警察接到诈骗电话，不料骗子直接跪地求饶，网友：诈骗团怎么敢跟警察通话, , , ,https://www.163.com/v/video/VQ4VVF2BH.html
你还不知道这种短信是诈骗短信？, , , ,https://www.163.com/v/video/VZ4PIN3QT.html
宝鸡丨全市打击整治养老诈骗专项行动全面启动,宝鸡生活向导,"
2022-04-25 20:41:49",来源/广播宝鸡，记者/方菁，编辑/吴佳霓4月25日上午，全市打击整治养老诈骗专项行动动员部署会召开。会议认真贯彻落实全国、全省专项行动部署会精神，对全市开展打击整治养老诈骗专项行动进行动员部署。市委常委、政法委书记赵甲宏参加并讲话，副市长、市公安局局长贺东主持。会议强调，各县区各有关部门要充分认清开展专项行动的重大意义，切实增强政治自觉，坚持宣传教育、依法打击、整治规范“三箭齐发”，依法严惩养老诈,https://www.163.com/dy/article/H5R08FT30545FXFV.html
一诈骗团伙利用小米换新政策诈骗：骗取全新手机300余部，涉案金额超百万元,三言财经,"
2022-04-25 15:30:05",经查，犯罪嫌疑人雷某超（男，27 岁）通过大量购进二手小米品牌手机，由折某飞（男，34 岁）人为破坏后，再利用该公司换新政策，通过售后工作人员梁某光（男，29 岁）、马某（男，26 岁）、赵某（男，37 岁）从该公司正定仓储骗取全新手机 300 余部，涉案金额 100 余万元。目前，该 5 名犯罪嫌疑人因涉嫌诈骗罪被公安机关依法刑事拘留，案件正进一步办理中。,https://www.163.com/dy/article/H5QEDLPA0519U3I5.html
收钱拉黑多次诈骗 两名“跑腿小哥”落网, , , ,https://www.163.com/v/video/VY4TE11A7.html
虚假投资理财诈骗揭秘, , , ,https://www.163.com/v/video/VV4T96BU0.html
苏州警方破获“冒充女友”实施诈骗的犯罪团伙, , , ,https://www.163.com/v/video/VS50JB9B7.html
女子险遭诈骗，警员及时赶到夺下手机, , , ,https://www.163.com/v/video/VP51PFIG7.html
法治天下：诈骗案件：已婚父亲满口谎言，诈骗3名女子钱财, , , ,https://www.163.com/v/video/VG4CLQSAT.html
陈根：诈骗升级，电话那头是AI,陈述根本,"
2022-04-23 09:50:16",文/陈根当前，以AI、大数据、云计算等系列能力驱动智能客服系统，已广泛应用在多个领域，懂人们心意的AI智能客服正在快速成为客服行业的主角。近日，央视就曝光了一起为境外诈骗组织引流的团伙犯罪，犯罪分子一共利用机器人自动打出1700万通骚扰电话，最终筛选出80多万有效“客户”，共获得近1.8亿元的“拉人头”佣金。受害人通过加“工作人员”的企业微信再进群之后发现，推荐的股票确实都涨得很好，她称“还专门去,https://www.163.com/dy/article/H5KM60KA05118AK0.html
重庆沙坪坝，#诈骗电话打到民警手机上，民警一番关怀让骗子破防#电话诈骗, , , ,https://www.163.com/v/video/VQ51JSF1J.html
虚假购物诈骗手法揭秘, , , ,https://www.163.com/v/video/VV4VROCKT.html
超级金矿诈骗案，成功诈骗30亿美元，骗了全世界3年竟没人发现,体育快报,"
2022-04-27 02:59:36",说起诈骗，可以说各路骗子尽显才华，各种诈骗手段层出不穷，颠覆人们的想象。今天要介绍的这起诈骗案，其手段相比各类诈骗大师可谓有过之而无不及，因为它不仅骗过了无数普通人，还骗过了某国政府。它就是发生在1990年代的世界最大金矿诈骗案——Bre-X超级金矿诈骗案。这起世界最大金矿诈骗案是由三个人发起的，他们分别是加拿大老板沃什、地质学家菲尔德霍夫以及菲律宾地质学家古兹曼。这三人是如何策划出这起惊天金矿诈,https://www.163.com/dy/article/H5U88S6H0517B4MF.html
每年诈骗上百亿，印度诈骗团伙为何专骗美国人？, , , ,https://www.163.com/v/video/VQ4BDA2F7.html
武汉同济医院诈骗国家医保，该当何罪？,队长手记,"
2022-04-21 14:51:28",学历越高，能力越大，心肠坏了，危害越重！这可是同济医院啊，中国一流的学术医院啊。在舆论界一直流传着，北协和、南湘雅、东齐鲁、西华西、中同济，并列中国五大医院。对医学生而言，进入这五大医院工作，堪比祖坟冒青烟。同济医院隶属于华中科技大学同济医学院，是中部地区最牛逼的医院，位列中部第一。同济医院技术高超，盛名在外。同济医院不仅承担着看病救人的基本医疗服务责任，还是医学硕士、医学博士的集中培养训练基地，,https://www.163.com/dy/article/H5G2K1OE0552RMWA.html
剑指诈骗  公安部开展打击整治“养老诈骗”专项行动, , , ,https://www.163.com/v/video/VU4NMDFCV.html
贷款诈骗罪与非罪的界定,苏建友律师,"
2022-04-25 17:11:11",《刑法》第一百九十三条规定，有下列情形之一，以非法占有为目的，诈骗银行或者其他金融机构的贷款，数额较大的，处五年以下有期徒刑或者拘役，并处二万元以上二十万元以下罚金；数额巨大或者有其他严重情节的，处五年以上十年以下有期徒刑，并处五万元以上五十万元以下罚金；数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处五万元以上五十万元以下罚金或者没收财产：（一）编造引进资金、项目等虚假,https://www.163.com/dy/article/H5QK5Q0K05535IUH.html
「打击整治养老诈骗」怀化市打击整治养老诈骗专项行动办公室第一次主任会议召开,又耳人青,"
2022-04-26 00:56:37",为推动打击整治养老诈骗专项行动有序开展，4月25日上午，怀化市打击整治养老诈骗专项行动办公室第一次主任会议召开，市委政法委常务副书记、市专项办主任李金海主持会议。会议宣读了《怀化市打击整治养老诈骗专项行动办公室各工作组组长、副组长名单》，研究讨论了《怀化市打击整治养老诈骗专项行动领导小组工作规则》。会上，各工作组、成员单位汇报了工作开展情况，并对下阶段工作进行了安排部署。会议指出，打击整治养老诈骗,https://www.163.com/dy/article/H5REQVKF0552E6JA.html
民警接到诈骗电话，一番关怀让骗子破防…, , , ,https://www.163.com/v/video/VK4V3OTPU.html
一女子遭遇冒充“公检法”诈骗，幸好......,西充公安,"
2022-04-24 16:56:54",“我是XX公安局民警”“你涉嫌违法犯罪，现在要求你配合调查”“请你不要挂电话，不要告诉任何人……”当你接到这种开场白电话时因为你已被诈骗分子盯上了西充县的邢女士就遭遇了冒充“公检法”电信诈骗好在民警及时出现好在她临危不乱事情经过4月22日下午，县局多扶派出所民警接到省厅下达的电诈预警指令，称辖区邢女士正在遭遇电信网络诈骗，要求派出所立即开展劝阻工作。随即，民警用电话紧急联系邢女士，在得知其具体位置,https://www.163.com/dy/article/H5O0VTVB0514CQ7M.html
爆笑电信诈骗，炸雷把自己炸没了, , , ,https://www.163.com/v/video/VY4N672UE.html
17岁帅哥靠诈骗拥有“钞能力”，坐拥豪车美女，世纪最强诈骗犯！, , , ,https://www.163.com/v/video/VS4D35AKO.html
举报方式公布！事关养老诈骗！,淮北发布,"
2022-04-26 10:28:13",举报须知：一、举报受理内容为涉及养老诈骗方面的线索。如举报其他方面的问题，请直接向有关部门反映；二、举报人应当如实反映情况，对所举报内容的真实性负责。接受询问、配合调查时，应如实提供情况和证据。对于捏造事实、诬告陷害行为的，将依照有关规定严肃处理；三、提倡实名举报，请提供真实姓名、身份信息以及准确联系方式等内容，受理机关将严格依法为举报人保密；四、为保障举报人的合法权益，限制恶意重复举报和垃圾信息,https://www.163.com/dy/article/H5SFHLCF0514B91H.html
诈骗团伙上演购车贷款“大戏”,成都市温江区人民检察院,"
2022-04-24 11:32:48",一诈骗团伙为获取高额利益，设下“首付购车”骗局，利用他人身份以购买高档汽车办理分期贷款，在三个月内骗取三家4S店6辆豪车，随后将车辆开至异地，低价转卖给二手车行从中牟利，涉案金额200余万元。近日，经江苏省淮安市淮阴区检察院提起公诉，法院分别以贷款诈骗罪判处吴鹏、朱志强、鲁有才、李小武4名被告人有期徒刑五年十个月至一年六个月不等的刑罚，并处2万至8万元不等的罚金；明知车辆系骗取仍予以收购的洪建刚、,https://www.163.com/dy/article/H5NEEFBM05342JU3.html
当心：任天堂警告买家关于 Switch 诈骗者在线,名人科技说,"
2022-04-27 16:05:36",任天堂已就假冒网站向游戏玩家发出警告，这些网站据称以极低的折扣价销售Switch游戏机。该公司通过其日本网站（感谢Siliconera）发表了一份声明，称其中一个恶意网站尤其声称是官方零售商，使用该公司的名称和徽标，以转移“大幅打折”的热门商品，如Nintendo Switch OLED机型。“如果您在虚假网站上购买产品，您可能会因欺诈性获取个人信息而被骗，”声明中写道（自动翻译自日文原文。）“请,https://www.163.com/dy/article/H5VL84F50552EQQB.html
近期，不少市民收到这样的短信，注意了，诈骗！！！,宾县公安,"
2022-04-22 16:37:18",近日，有不少群众收到下面这样的短信：“【社会医疗】您的医疗卡封禁，请登录***（不明网址）补录资料后恢复正常”“【12333卫健委】您的医用保障服务被暂停，请某日前打开***（不明网址）补充信息后启用”“您的医保卡未完善信息，请打开***（不明网址）进行更新完善”“因升级电子版，您的医保卡信息尚未完善，请打开***（不明网址）指定网址办理”或其它类似短信。宾县公安局在此提醒市民，这是典型的假冒医疗,https://www.163.com/dy/article/H5IR2KQF0534N6BQ.html
电信网络诈骗套路多！这四个防诈骗小妙招请收好！,保山日报,"
2022-04-24 13:30:41",电信网络诈骗犯罪具有手段多样、组织性强涉案区域广泛等特点严重危害群众财产安全让我们一起看看这四个经典小案例学习防诈骗知识吧！1、保健养生需谨慎诈骗陷阱套路多看病和养生，是很多老年人关心的话题。许多不法分子打着看病诊治、保健养生的旗号，将目光对准了老年人的养老钱。近日，上海市的谢女士报警称，自己花24000元买的六盒保健药是过期的。据了解，谢女士看到一张广告卡片，称可以为70岁以上的老年人免费送多功,https://www.163.com/dy/article/H5NL67250514T96E.html
女子遇假公安电信诈骗，真民警火速寻人拦截, , , ,https://www.163.com/v/video/VP4PI28II.html
