日期,天气状况,气温,风力风向
2011-11-28,多云/阴,23℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-11-29,阴/阴,22℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-11-30,小雨/阵雨,23℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-12-01,小雨/小雨,16℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-12-02,小雨/多云,16℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-12-03,多云/晴,16℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-12-04,多云/多云,17℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-05,多云/小雨,20℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-12-06,小雨/小雨,20℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-12-07,小到中雨/小雨,18℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-12-08,小雨/小雨,17℃/4℃,无持续风向≤3级/无持续风向≤3级
2011-12-09,小雨/多云,11℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-12-10,多云/阴,15℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-12-11,阴/阴,13℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-12-12,阴/阴,14℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-13,阴/阴,18℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-14,阴/多云,16℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-12-15,多云/阴,17℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-12-16,阴/多云,15℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-12-17,多云/多云,14℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-12-18,多云/多云,13℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-12-19,多云/多云,15℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-12-20,多云/多云,16℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-12-21,多云/阴,17℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-12-22,阴/多云,14℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-12-23,多云/多云,11℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-12-24,多云/晴,13℃/4℃,无持续风向≤3级/无持续风向≤3级
2011-12-25,晴/晴,14℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-12-26,晴/多云,14℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-12-27,多云/阴,15℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-12-28,阴/小雨,16℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-12-29,小雨/小雨,15℃/9℃,无持续风向微风/无持续风向微风
2011-12-30,小雨/阴,12℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-12-31,阴/阴,13℃/8℃,无持续风向≤3级/无持续风向≤3级
